Company,Symbol,Managers,Offer Date,Offer Price,1st Day Close,Current Price,Return
Cascal B.V.,HOO,JPMorgan/Credit Suisse,1-28-08,$12.00,$12.00,$12.00,0.00%
Overture Acquisition,NLX-U,JPMorgan,1-30-08,$10.00,$9.82,$9.75,-1.80%
BBV Vietnam S.E.A. Acuisition,BBVUF,Ladenburg Thalmann/Chardan Capital Markets,2-7-08,$8.00,$8.25,$8.00,3.13%
ArcSight,ARST,Morgan Stanley/Lehman Brothers,2-14-08,$9.00,$8.78,$9.00,-2.44%
MAKO Surgical,MAKO,JPMorgan/Morgan Stanley,2-14-08,$10.00,$9.18,$10.00,-8.20%
GHL Acquisition,GHQ-U,Banc of America,2-14-08,$10.00,$9.70,$9.75,-3.00%
BioHeart,BHRT,Dawson James Securities,2-19-08,$5.25,$5.00,$5.25,-4.76%
BPW Acquisition,BPW-U,Citi,2-26-08,$10.00,$9.80,$10.00,-2.00%
Spring Creek Acquisition,SCRUF,EarlyBirdCapital,2-27-08,$8.00,$8.15,$8.10,1.88%
Hambrecht Asia Acquisition,HMAUF,Broadband Capital Management LLC,3-10-08,$8.00,$8.13,$8.15,1.63%
Heritage-Crystal Clean,HCCI,William Blair/Piper Jaffray,3-11-08,$11.50,$14.19,$14.00,23.39%
CardioNet,BEAT,Citi,3-18-08,$18.00,$17.70,$18.00,-1.67%
Visa,V,JPMorgan/ Goldman Sachs,3-18-08,$44.00,$56.50,$59.50,28.41%
Healthy Fast Food,HFFIU,Paulson Investment Company,3-18-08,$5.10,$5.25,$5.25,2.94%
Intrepid Potash,IPI,Goldman Sachs/Merrill Lynch/Morgan Stanley,4-21-08,$32.00,$50.40,$46.25,57.50%
American Water Works,AWK,Goldman Sachs/Citi/Merrill Lynch,4-22-08,$21.50,$20.60,$20.60,-4.19%
Hatteras Financial,HTS,"Keefe, Bruyette & Woods/ Banc of America Securities",4-24-08,$24.00,$24.68,$24.00,2.83%
Whiting USA Trust I,WHX,Raymond James/Wachovia,4-24-08,$20.00,$20.85,$20.00,4.25%
Pioneer Southwest Energy Partners L.P.,PSE,Citi/Deutsche Bank/UBS Investment Bank,4-30-08,$19.00,$19.65,$19.63,3.42%
Colfax,CFX,Merrill Lynch ,5-7-08,$18.00,$21.00,$22.50,16.67%
Real Goods Solar,RSOL,ThinkPanmure,5-7-08,$10.00,$8.80,$9.00,-12.00%
Western Gas Partners LP,WES,UBS Investment Bank/Citi/Credit Suisse/Morgan Stanley,5-8-08,$16.50,$16.50,$16.50,0.00%
American Capital Agency,AGNC,Citi/Merrill Lynch,5-14-08,$20.00,$19.35,$19.50,-3.25%
Verso Paper,VRS,Credit Suisse/ Citi,5-14-08,$12.00,$10.00,$10.00,-16.67%
China Fundamental Acquisition,CFQUF,Chardan Capital Markets/ Maxim Group,5-15-08,$8.00,$8.20,$8.05,2.50%
Safe Bulkers,SB,Merrill Lynch/Credit Siusse,5-28-08,$19.00,$18.90,$19.00,-0.53%
Britannia Bulk Holdings,DTW,Goldman Sachs/Banc of America,6-18-08,$15.00,$13.85,$14.50,-7.67%
RHI Entertainment,RHIE,JPMorgan/Banc of America,6-18-08,$14.00,$13.50,$13.75,-3.57%
Navios Maritime Acquisition,NNA-U,JPMorgan/Deutsche Bank,6-25-08,$10.00,$10.50,$10.00,5.00%
Energy Recovery,ERII,Citi/Credit Siusse,7-2-08,$8.50,$9.83,$11.00,15.65%
GT Solar International,SOLR,Credit Suisse/UBS Investment Bank,7-23-08,$16.50,$14.59,$16.50,-11.58%
North Asia Investment,NHR.U,Citi,7-23-08,$10.00,$9.66,$9.75,-3.40%
China Distance Education Holdings (DL),DL,Citi/Merrill Lynch,7-29-08,$7.00,$6.63,$6.50,-5.29%
China Mass Media International Advertising,CMM,Merrill Lynch,8-4-08,$6.80,$6.50,$6.80,-4.41%
Rackspace Hosting,RAX,"Goldman, Sachs/ Credit Suisse/ Merrill Lynch",8-7-08,$12.50,$10.01,$10.00,-19.92%
CS China Acquisition,CSACF,EarlyBirdCapital,8-12-08,$6.00,$6.11,$6.04,1.83%
Grand Canyon Education,LOPE,Credit Suisse/Merrill Lynch,11-19-08,$12.00,$11.85,$10.00,-1.25%
Legacy Reserves LP,LGCY,Wachovia/Friedman Billings Ramsey,1-11-07,$19.00,$20.30,$19.00,6.84%
MV Oil Trust,MVO,Raymond James,1-18-07,$20.00,$22.37,$21.50,11.85%
AeroVironment,AVAV,Goldman Sachs,1-22-07,$17.00,$23.93,$25.00,40.76%
Meruelo Maddux Properties,MMPI,Friedman Billings Ramsey/UBS Investment Bank,1-24-07,$10.00,$10.60,$10.25,6.00%
Oculus Innovative Sciences,OCLS,Roth Capital Partners,1-24-07,$8.00,$7.80,$7.75,-2.50%
Animal Health International,AHII,JPMorgan,1-30-07,$11.00,$12.45,$12.00,13.18%
HFF,HF,"Goldman Sachs,/Morgan Stanley",1-30-07,$18.00,$18.70,$18.15,3.89%
Duncan Energy Partners L.P.,DEP,Lehman Brothers/UBS Investment Bank,1-30-07,$21.00,$23.05,$22.50,9.76%
Employers Holdings,EIG,Morgan Stanley,1-30-07,$17.00,$19.97,$20.00,17.47%
XTENT,XTNT,Piper Jaffray,1-31-07,$16.00,$16.48,$16.15,3.00%
Molecular Insight Pharmaceuticals,MIPI,RBC Capital Markets/Jefferies,2-1-07,$14.00,$14.09,$14.10,0.64%
Cellcom Israel,CEL,Goldman Sachs/Citigroup/Deutsche Bank,2-5-07,$20.00,$19.54,$20.30,-2.30%
Synta Pharmaceuticals,SNTA,Bear Stearns/Lehman Brothers,2-5-07,$10.00,$9.09,$10.00,-9.10%
3SBio,SSRX,UBS Investment Bank,2-6-07,$16.00,$14.85,$17.50,-7.19%
JA Solar Holdings Co. Ltd,JASO,CIBC World Markets/Piper Jaffray,2-6-07,$15.00,$19.50,$19.06,30.00%
Accuray,ARAY,JPMorgan/UBS Investment Bank,2-7-07,$18.00,$28.47,$21.00,58.17%
Mellanox Technologies,MLNX,Credit Suisse/JPMorgan,2-7-07,$17.00,$20.00,$20.00,17.65%
National CineMedia,NCMI,Credit Suisse/JPMorgan/Lehman Brothers/Morgan Stanley,2-7-07,$21.00,$25.67,$25.50,22.24%
Switch and Data,SDXC,Deutsche Bank/Jefferies,2-7-07,$17.00,$19.00,$22.00,11.76%
Optimer Pharmaceuticals,OPTR,Piper Jaffray/Jefferies,2-8-07,$7.00,$8.50,$7.50,21.43%
Targa Resources Partners LP,NGLS,Citigroup/Goldman Sachs/UBS Investment Bank/Merrill Lynch,2-8-07,$21.00,$23.76,$23.00,13.14%
U.S. Auto Parts Network,PRTS,RBC Capital Markets/Thomas Weisel Partners,2-8-07,$10.00,$11.90,$11.00,19.00%
Fortress Investment Group,FIG,Goldman Sachs,2-8-07,$18.50,$31.00,$35.00,67.57%
VeriChip,CHIP,Merriman Curhan Ford,2-9-07,$6.50,$6.50,$6.50,0.00%
