Symbol,Company,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return,T-10Days,T-90Days,T+100Days,SPY 90D Return,100 day Return
SQZ,SQZ Biotechnologies,Health Care,2020-10-30,4.4,$16.00,$13.25,$12.69,-20.69%,2020-10-20,2020-08-07,2021-02-07,0.026329309991135218,0.9864150713074882
ALGM,Allegro MicroSystems,Technology,2020-10-29,25.0,$14.00,$17.70,$26.09,86.36%,2020-10-19,2020-08-06,2021-02-06,0.042922327898026275,0.7056496741666772
GLTO,Galecto,Health Care,2020-10-29,5.7,$15.00,$15.00,$5.70,-62.00%,2020-10-19,2020-08-06,2021-02-06,0.042922327898026275,-0.17666664123535156
LESL,Leslie’s,Consumer Goods,2020-10-29,40.0,$17.00,$21.70,$25.46,49.76%,2020-10-19,2020-08-06,2021-02-06,0.042922327898026275,0.2926266475052848
BDSX,Biodesix,Health Care,2020-10-28,4.0,$18.00,$12.81,$17.78,-1.22%,2020-10-18,2020-08-05,2021-02-05,0.04989383902644694,0.8227946617169904
GATO,Gatos Silver,Basic Materials,2020-10-28,21.4,$7.00,$6.60,$9.98,42.57%,2020-10-18,2020-08-05,2021-02-05,0.04989383902644694,0.9848485713272177
MAX,"MediaAlpha, Inc.",Financials,2020-10-28,9.3,$19.00,$31.86,$32.96,73.47%,2020-10-18,2020-08-05,2021-02-05,0.04989383902644694,0.6694914503368572
ROOT,"ROOT, INC.",Financials,2020-10-28,26.8,$27.00,$27.00,$9.90,-63.33%,2020-10-18,2020-08-05,2021-02-05,0.04989383902644694,-0.18851852416992188
FHTX,Foghorn Therapeutics Inc.,Health Care,2020-10-23,7.5,$16.00,$18.12,$11.98,-25.13%,2020-10-13,2020-07-31,2021-01-31,0.08367274113193773,-0.08940401568446812
ABCM,Abcam plc,Health Care,2020-10-22,9.0,$17.50,$19.75,$20.32,16.11%,2020-10-12,2020-07-30,2021-01-30,0.07494257260393648,0.1711391980134988
BLSA,BCLS Acquisition Corp.,Blank Check,2020-10-22,12.5,$10.00,$10.18,$10.32,3.20%,2020-10-12,2020-07-30,2021-01-30,0.07494257260393648,0.06679757673049727
GHLD,Guild Holdings Company,Financials,2020-10-22,6.5,$15.00,$15.00,$13.60,-9.33%,2020-10-12,2020-07-30,2021-01-30,0.07494257260393648,0.02066667176724154
MCFE,McAfee Corp.,Technology,2020-10-22,37.0,$20.00,$18.70,$24.67,23.35%,2020-10-12,2020-07-30,2021-01-30,0.07494257260393648,0.01309565094320883
