Company,Symbol,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return
"Xponential Fitness, Inc.",XPOF,Consumer Services,7/23/2021,10,$12.00,$12.25,$23.50,95.83%
AbSci Corp.,ABSI,Health Care,7/22/2021,12.5,$16.00,$21.59,$7.17,-55.19%
"Couchbase, Inc.",BASE,Technology,7/22/2021,8.3,$24.00,$30.40,$17.03,-29.04%
"Instructure Holdings, Inc.",INST,Technology,7/22/2021,12.5,$20.00,$20.98,$17.63,-11.85%
"Ryan Specialty Group Holdings, Inc.",RYAN,Financials,7/22/2021,56.9,$23.50,$27.50,$39.80,69.36%
Zenvia Inc.,ZENV,Technology,7/22/2021,11.5,$13.00,$10.20,$7.15,-45.00%
Zevia PBC,ZVIA,Consumer Goods,7/22/2021,10.7,$14.00,$13.65,$3.44,-75.43%
CS Disco,LAW,Technology,7/21/2021,7,$32.00,$41.00,$30.30,-5.31%
"Kaltura, Inc.",KLTR,Technology,7/21/2021,15,$10.00,$12.00,$1.49,-85.10%
"Paycor HCM, Inc.",PYCR,Technology,7/21/2021,18.5,$23.00,$26.05,$24.76,7.65%
Twin Vee PowerCats,VEEE,Consumer Goods,7/21/2021,3,$6.00,$7.49,$3.65,-39.17%
VTEX,VTEX,Technology,7/21/2021,19,$19.00,$22.18,$5.56,-70.74%
HCW Biologics Inc.,HCWB,Health Care,7/20/2021,7,$8.00,$6.30,$2.60,-67.50%
"Blend Labs, Inc.",BLND,Technology,7/16/2021,20,$18.00,$20.90,$4.49,-75.06%
Bridge Investment Group Holdings Inc.,BRDG,Financials,7/16/2021,18.8,$16.00,$15.65,$18.77,17.31%
"Erasca, Inc.",ERAS,Health Care,7/16/2021,18.8,$16.00,$17.43,$8.10,-49.38%
"Imago BioSciences, Inc.",IMGO,Health Care,7/16/2021,8.4,$16.00,$16.29,$17.85,11.56%
Regencell Bioscience Holdings Ltd.,RGC,Health Care,7/16/2021,2.3,$9.50,$10.50,$22.70,138.95%
Stevanato Group S.p.A.,STVN,Health Care,7/16/2021,32,$21.00,$19.67,$16.61,-20.90%
TScan Therapeutics,TCRX,Health Care,7/16/2021,6.7,$15.00,$10.50,$2.45,-83.67%
F45 Training Holdings Inc.,FXLV,Consumer Services,7/15/2021,20.3,$16.00,$16.20,$9.92,-38.00%
Membership Collective Group Inc.,MCG,Other,7/15/2021,30,$14.00,$12.66,$7.48,-46.57%
"Phillips Edison & Company, Inc.",PECO,Financials,7/15/2021,17,$28.00,$27.83,$35.21,25.75%
"Rapid Micro Biosystems, Inc.",RPID,Health Care,7/15/2021,7.9,$20.00,$21.40,$5.01,-74.95%
